epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,203.548,0.5831,0.38699,0.85681,0.99037,0.91678,0.93602,0.78915,0.65981,0.41407,0.85571,0.00183764,0.00183764,0.00183764
43,208.233,0.56928,0.38226,0.8481,0.99075,0.91719,0.93632,0.79814,0.63275,0.39065,0.85075,0.00183368,0.00183368,0.00183368
44,212.747,0.60636,0.39217,0.85931,0.99088,0.91947,0.9363,0.80467,0.62604,0.42171,0.84842,0.00182972,0.00182972,0.00182972
45,218.159,0.57086,0.38523,0.84943,0.99176,0.91958,0.93639,0.79191,0.64329,0.42017,0.85155,0.00182576,0.00182576,0.00182576
46,222.576,0.58318,0.38115,0.85461,0.99215,0.91542,0.93706,0.79941,0.63413,0.39142,0.85095,0.0018218,0.0018218,0.0018218
47,227.003,0.58063,0.37716,0.85023,0.99252,0.9146,0.93659,0.80064,0.62449,0.38549,0.8491,0.00181784,0.00181784,0.00181784
48,232.671,0.58479,0.3787,0.85098,0.99059,0.91887,0.93631,0.79645,0.63928,0.39134,0.85151,0.00181388,0.00181388,0.00181388
49,237.121,0.56526,0.37139,0.84666,0.99022,0.9191,0.9362,0.80158,0.62458,0.37654,0.84983,0.00180992,0.00180992,0.00180992
50,241.516,0.55081,0.36652,0.85227,0.98958,0.91969,0.93621,0.79824,0.63228,0.38096,0.85213,0.00180596,0.00180596,0.00180596
51,246.7,0.54435,0.35941,0.85051,0.99042,0.92005,0.93629,0.79807,0.64372,0.37138,0.85566,0.001802,0.001802,0.001802
52,251.29,0.58476,0.37026,0.85433,0.99186,0.91896,0.93625,0.79663,0.62422,0.36241,0.85149,0.00179804,0.00179804,0.00179804
53,256.271,0.57692,0.37435,0.8451,0.99235,0.92005,0.93652,0.79575,0.62262,0.36803,0.85234,0.00179408,0.00179408,0.00179408
54,260.924,0.54096,0.3704,0.85264,0.99329,0.92046,0.93621,0.80776,0.62249,0.373,0.84991,0.00179012,0.00179012,0.00179012
55,265.445,0.59675,0.37668,0.85095,0.98923,0.92005,0.93632,0.80408,0.61636,0.38651,0.85103,0.00178616,0.00178616,0.00178616
56,270.746,0.56741,0.37146,0.84835,0.98957,0.91912,0.93673,0.80312,0.62688,0.37983,0.85197,0.0017822,0.0017822,0.0017822
57,275.076,0.57253,0.37304,0.85536,0.99204,0.91838,0.93617,0.80712,0.61351,0.38889,0.84808,0.00177824,0.00177824,0.00177824
58,279.523,0.53622,0.36293,0.84909,0.98969,0.91965,0.93616,0.80285,0.62029,0.37645,0.8508,0.00177428,0.00177428,0.00177428
59,284.93,0.559,0.36609,0.84509,0.9917,0.92169,0.93711,0.80315,0.62199,0.36491,0.85081,0.00177032,0.00177032,0.00177032
60,289.286,0.56361,0.36813,0.85676,0.99193,0.92204,0.93636,0.79705,0.62766,0.41132,0.8526,0.00176636,0.00176636,0.00176636
61,293.861,0.56616,0.37931,0.84899,0.99147,0.92025,0.93599,0.80432,0.61424,0.36813,0.85051,0.0017624,0.0017624,0.0017624
62,299.034,0.54828,0.3582,0.84731,0.99228,0.91951,0.93616,0.79431,0.62414,0.37796,0.85218,0.00175844,0.00175844,0.00175844
63,303.396,0.56177,0.36292,0.84556,0.99205,0.91935,0.93642,0.80009,0.62969,0.37336,0.85329,0.00175448,0.00175448,0.00175448
64,308.299,0.54925,0.35475,0.84164,0.99126,0.92169,0.93682,0.80822,0.61075,0.35843,0.84655,0.00175052,0.00175052,0.00175052
65,313.072,0.53639,0.34707,0.84199,0.99224,0.91992,0.93664,0.80818,0.62294,0.35631,0.84851,0.00174656,0.00174656,0.00174656
66,317.532,0.53479,0.34734,0.84278,0.9911,0.92019,0.93828,0.8029,0.61736,0.35725,0.84953,0.0017426,0.0017426,0.0017426
67,322.787,0.5349,0.34634,0.84181,0.99205,0.91878,0.93852,0.80679,0.62379,0.36004,0.85102,0.00173864,0.00173864,0.00173864
68,327.106,0.54052,0.34283,0.85066,0.9896,0.91814,0.93679,0.80345,0.62098,0.35489,0.84862,0.00173468,0.00173468,0.00173468
69,331.461,0.55241,0.34468,0.84071,0.98934,0.91951,0.93659,0.80208,0.62162,0.3604,0.85147,0.00173072,0.00173072,0.00173072
70,336.88,0.5454,0.34263,0.84596,0.99117,0.91897,0.9369,0.80741,0.61778,0.35616,0.84857,0.00172676,0.00172676,0.00172676
71,341.399,0.54331,0.34197,0.84771,0.98944,0.92075,0.93691,0.80759,0.61131,0.35019,0.84764,0.0017228,0.0017228,0.0017228
72,345.854,0.53585,0.34495,0.84263,0.99196,0.91937,0.9369,0.7951,0.62423,0.35602,0.85129,0.00171884,0.00171884,0.00171884
73,351.267,0.53923,0.33991,0.8462,0.99003,0.92118,0.93636,0.80878,0.61198,0.35367,0.84839,0.00171488,0.00171488,0.00171488
74,355.744,0.54092,0.34323,0.84173,0.99103,0.91924,0.93636,0.80898,0.61725,0.35973,0.84852,0.00171092,0.00171092,0.00171092
